date,Month,Day,location,population
2021-07-18,7,18,1,476672
2021-07-18,7,18,2,1442008
2021-07-18,7,18,3,480925
2021-07-18,7,18,4,311515
2021-07-15,7,15,0,1710558
2021-07-15,7,15,1,476672
2021-07-15,7,15,2,1442008
2021-07-15,7,15,3,480925
2021-07-15,7,15,4,311515
2021-07-14,7,14,0,1710558
2021-07-14,7,14,1,476672
2021-07-14,7,14,2,1442008
2021-07-14,7,14,3,480925
2021-07-14,7,14,4,311515
2021-07-13,7,13,0,1710558
2021-07-13,7,13,1,476672
2021-07-13,7,13,2,1442008
2021-07-13,7,13,3,480925
2021-07-13,7,13,4,311515
2021-07-12,7,12,0,1710558
2021-07-12,7,12,1,476672
2021-07-12,7,12,2,1442008
2021-07-12,7,12,3,480925
2021-07-12,7,12,4,311515
2021-07-11,7,11,0,1710558
2021-07-11,7,11,1,476672
2021-07-11,7,11,2,1442008
2021-07-11,7,11,3,480925
2021-07-11,7,11,4,311515
2021-07-08,7,8,0,1710558
2021-07-08,7,8,1,476672
2021-07-08,7,8,2,1442008
2021-07-08,7,8,3,480925
2021-07-08,7,8,4,311515
2021-07-07,7,7,0,1710558
2021-07-07,7,7,1,476672
2021-07-07,7,7,2,1442008
2021-07-07,7,7,3,480925
2021-07-07,7,7,4,311515
2021-07-06,7,6,0,1710558
2021-07-06,7,6,1,476672
2021-07-06,7,6,2,1442008
2021-07-06,7,6,3,480925
2021-07-06,7,6,4,311515
2021-07-05,7,5,0,1710558
2021-07-05,7,5,1,476672
2021-07-05,7,5,2,1442008
2021-07-05,7,5,3,480925
2021-07-05,7,5,4,311515
2021-07-04,7,4,0,1710558
2021-07-04,7,4,1,476672
2021-07-04,7,4,2,1442008
2021-07-04,7,4,3,480925
2021-07-04,7,4,4,311515
2021-07-01,7,1,0,1710558
2021-07-01,7,1,1,476672
2021-07-01,7,1,2,1442008
2021-07-01,7,1,3,480925
2021-07-01,7,1,4,311515
2021-06-29,6,29,0,1710558
2021-06-29,6,29,1,476672
2021-06-29,6,29,2,1442008
2021-06-29,6,29,3,480925
2021-06-29,6,29,4,311515
2021-06-28,6,28,0,1710558
2021-06-28,6,28,1,476672
2021-06-28,6,28,2,1442008
2021-06-28,6,28,3,480925
2021-06-28,6,28,4,311515
2021-06-27,6,27,0,1737119
2021-06-27,6,27,1,479721
2021-06-27,6,27,2,1465812
2021-06-27,6,27,3,484163
2021-06-27,6,27,4,314722
2021-06-23,6,23,0,1737119
2021-06-23,6,23,1,479721
2021-06-23,6,23,2,1465812
2021-06-23,6,23,3,484163
2021-06-23,6,23,4,314722
2021-06-22,6,22,0,1737119
2021-06-22,6,22,1,479721
2021-06-22,6,22,2,1465812
2021-06-22,6,22,3,484163
2021-06-22,6,22,4,314722
2021-06-21,6,21,0,1737119
2021-06-21,6,21,1,479721
2021-06-21,6,21,2,1465812
2021-06-21,6,21,3,484163
2021-06-21,6,21,4,314722
2021-06-20,6,20,0,1737119
2021-06-20,6,20,1,479721
2021-06-20,6,20,2,1465812
2021-06-20,6,20,3,484163
2021-06-20,6,20,4,314722
2021-06-19,6,19,0,1737119
2021-06-19,6,19,1,479721
2021-06-19,6,19,2,1465812
2021-06-19,6,19,3,484163
2021-06-19,6,19,4,314722
2021-06-16,6,16,0,1737119
2021-06-16,6,16,1,479721
2021-06-16,6,16,2,1465812
2021-06-16,6,16,3,484163
2021-06-16,6,16,4,314722
2021-06-15,6,15,0,1737119
2021-06-15,6,15,1,479721
2021-06-15,6,15,2,1465812
2021-06-15,6,15,3,484163
2021-06-15,6,15,4,314722
2021-06-14,6,14,0,1737119
2021-06-14,6,14,1,479721
2021-06-14,6,14,2,1465812
2021-06-14,6,14,3,484163
2021-06-14,6,14,4,314722
2021-06-09,6,9,0,1737119
2021-06-09,6,9,1,479721
2021-06-09,6,9,2,1465812
2021-06-09,6,9,3,484163
2021-06-09,6,9,4,314722
2021-06-08,6,8,0,1737119
2021-06-08,6,8,1,479721
2021-06-08,6,8,2,1465812
2021-06-08,6,8,3,484163
2021-06-08,6,8,4,314722
2021-06-07,6,7,0,1737119
