date,Month,Day,location,dose_1,dose_2
2021-05-15,5,15,2,652064,110373
2021-05-15,5,15,3,151892,25649
2021-05-15,5,15,4,131593,26639
2021-05-14,5,14,0,711422,120346
2021-05-14,5,14,1,177014,36143
2021-05-14,5,14,2,634834,109848
2021-05-14,5,14,3,149535,25531
2021-05-14,5,14,4,129220,26579
2021-05-13,5,13,0,687912,119571
2021-05-13,5,13,1,171636,35968
2021-05-13,5,13,2,615128,109229
2021-05-13,5,13,3,145248,25235
2021-05-13,5,13,4,126000,26468
2021-05-12,5,12,0,661509,118665
2021-05-12,5,12,1,165634,35739
2021-05-12,5,12,2,593787,108722
2021-05-12,5,12,3,139590,24799
2021-05-12,5,12,4,122271,26346
2021-05-11,5,11,0,643953,118249
2021-05-11,5,11,1,161708,35558
2021-05-11,5,11,2,579731,108557
2021-05-11,5,11,3,135985,24653
2021-05-11,5,11,4,118766,26262
2021-05-10,5,10,0,631164,117831
2021-05-10,5,10,1,159355,35365
2021-05-10,5,10,2,571758,108187
2021-05-10,5,10,3,133770,24320
2021-05-10,5,10,4,116318,26104
2021-05-09,5,9,0,618940,117389
2021-05-09,5,9,1,156739,35201
2021-05-09,5,9,2,562959,107929
2021-05-09,5,9,3,131190,24217
2021-05-09,5,9,4,113247,26039
2021-05-08,5,8,0,609230,116846
2021-05-08,5,8,1,155130,35101
2021-05-08,5,8,2,553348,107579
2021-05-08,5,8,3,130057,24142
2021-05-08,5,8,4,110994,25997
2021-05-07,5,7,0,592565,115846
2021-05-07,5,7,1,151799,34971
2021-05-07,5,7,2,537922,106977
2021-05-07,5,7,3,127527,24075
2021-05-07,5,7,4,108324,25944
2021-05-06,5,6,0,571477,114474
2021-05-06,5,6,1,146924,34728
2021-05-06,5,6,2,520161,106070
2021-05-06,5,6,3,123178,23949
2021-05-06,5,6,4,104637,25855
2021-05-05,5,5,0,548931,112629
2021-05-05,5,5,1,141180,34379
2021-05-05,5,5,2,502490,105251
2021-05-05,5,5,3,117371,23772
2021-05-05,5,5,4,100819,25734
2021-05-04,5,4,0,535073,111211
2021-05-04,5,4,1,137228,34035
2021-05-04,5,4,2,491494,104636
2021-05-04,5,4,3,112604,23444
2021-05-04,5,4,4,98625,25563
2021-05-03,5,3,0,525981,110217
2021-05-03,5,3,1,134375,33722
2021-05-03,5,3,2,484674,104072
